Name,Key
RELIANCE INDUSTRIES LTD,NSE_EQ|INE002A01018
SAMMAAN CAPITAL LIMITED,NSE_EQ|INE148I01020
SAMVRDHNA MTHRSN INTL LTD,NSE_EQ|INE775A01035
SBI CARDS & PAY SER LTD,NSE_EQ|INE018E01016
SBI LIFE INSURANCE CO LTD,NSE_EQ|INE123W01016
SHREE CEMENT LIMITED,NSE_EQ|INE070A01015
SHRIRAM FINANCE LIMITED,NSE_EQ|INE721A01047
SIEMENS LTD,NSE_EQ|INE003A01024
SOLAR INDUSTRIES (I) LTD,NSE_EQ|INE343H01029
SONA BLW PRECISION FRGS L,NSE_EQ|INE073K01018
SRF LTD,NSE_EQ|INE647A01010
STATE BANK OF INDIA,NSE_EQ|INE062A01020
STEEL AUTHORITY OF INDIA,NSE_EQ|INE114A01011
SUN PHARMACEUTICAL IND L,NSE_EQ|INE044A01036
SUPREME INDUSTRIES LTD,NSE_EQ|INE195A01028
SUZLON ENERGY LIMITED,NSE_EQ|INE040H01021
SYNGENE INTERNATIONAL LTD,NSE_EQ|INE398R01022
TATA CONSULTANCY SERV LT,NSE_EQ|INE467B01029
TATA CONSUMER PRODUCT LTD,NSE_EQ|INE192A01025
TATA ELXSI LIMITED,NSE_EQ|INE670A01012
TATA MOTORS PASS VEH LTD,NSE_EQ|INE155A01022
TATA POWER CO LTD,NSE_EQ|INE245A01021
TATA STEEL LIMITED,NSE_EQ|INE081A01020
TATA TECHNOLOGIES LIMITED,NSE_EQ|INE142M01025
TECH MAHINDRA LIMITED,NSE_EQ|INE669C01036
THE INDIAN HOTELS CO. LTD,NSE_EQ|INE053A01029
THE PHOENIX MILLS LTD,NSE_EQ|INE211B01039
TITAGARH RAIL SYSTEMS LTD,NSE_EQ|INE615H01020
TITAN COMPANY LIMITED,NSE_EQ|INE280A01028
TORRENT PHARMACEUTICALS L,NSE_EQ|INE685A01028
TORRENT POWER LTD,NSE_EQ|INE813H01021
TRENT LTD,NSE_EQ|INE849A01020
TUBE INVEST OF INDIA LTD,NSE_EQ|INE974X01010
TVS MOTOR COMPANY  LTD,NSE_EQ|INE494B01023
ULTRATECH CEMENT LIMITED,NSE_EQ|INE481G01011
UNION BANK OF INDIA,NSE_EQ|INE692A01016
UNITED SPIRITS LIMITED,NSE_EQ|INE854D01024
UNO MINDA LIMITED,NSE_EQ|INE405E01023
UPL LIMITED,NSE_EQ|INE628A01036
VARUN BEVERAGES LIMITED,NSE_EQ|INE200M01039
VEDANTA LIMITED,NSE_EQ|INE205A01025
VODAFONE IDEA LIMITED,NSE_EQ|INE669E01016
VOLTAS LTD,NSE_EQ|INE226A01021
WIPRO LTD,NSE_EQ|INE075A01022
YES BANK LIMITED,NSE_EQ|INE528G01035
ZYDUS LIFESCIENCES LTD,NSE_EQ|INE010B01027

